00:57:56 | TCP   | 20.67.205.101:443 -> 172.18.0.1:64877 | Flags: PA | Size: 78
00:57:56 | TCP   | 172.18.0.1:64877 -> 20.67.205.101:443 | Flags: A | Size: 40
00:57:56 | TCP   | 20.67.205.101:443 -> 172.18.0.1:64877 | Flags: PA | Size: 780
00:57:56 | TCP   | 172.18.0.1:64877 -> 20.67.205.101:443 | Flags: A | Size: 40
00:57:56 | TCP   | 172.64.148.235:443 -> 172.18.0.1:55386 | Flags: PA | Size: 64
00:57:56 | TCP   | 172.18.0.1:55386 -> 172.64.148.235:443 | Flags: PA | Size: 68
00:57:56 | TCP   | 172.64.148.235:443 -> 172.18.0.1:55386 | Flags: A | Size: 40
00:57:56 | TCP   | 93.158.134.121:443 -> 172.18.0.1:50924 | Flags: A | Size: 40
00:57:56 | TCP   | 172.18.0.1:50924 -> 93.158.134.121:443 | Flags: A | Size: 40
00:57:56 | TCP   | 172.18.0.1:64877 -> 20.67.205.101:443 | Flags: A | Size: 1408
00:57:56 | TCP   | 172.18.0.1:64877 -> 20.67.205.101:443 | Flags: PA | Size: 88
00:57:56 | TCP   | 20.67.205.101:443 -> 172.18.0.1:64877 | Flags: A | Size: 40
00:57:56 | TCP   | 172.18.0.1:50924 -> 93.158.134.121:443 | Flags: A | Size: 41
00:57:56 | TCP   | 93.158.134.121:443 -> 172.18.0.1:50924 | Flags: A | Size: 40
00:57:57 | TCP   | 20.67.205.101:443 -> 172.18.0.1:64877 | Flags: PA | Size: 780
00:57:57 | TCP   | 172.18.0.1:64877 -> 20.67.205.101:443 | Flags: A | Size: 40
00:57:57 | TCP   | 172.18.0.1:64877 -> 20.67.205.101:443 | Flags: RA | Size: 40
00:57:57 | TCP   | 23.73.4.201:443 -> 172.18.0.1:54482 | Flags: A | Size: 40
00:57:57 | TCP   | 172.18.0.1:54482 -> 23.73.4.201:443 | Flags: A | Size: 40
00:57:57 | TCP   | 172.18.0.1:64884 -> 140.82.113.21:443 | Flags: S | Size: 52
00:57:57 | TCP   | 140.82.113.21:443 -> 172.18.0.1:64884 | Flags: SA | Size: 52
00:57:57 | TCP   | 172.18.0.1:64884 -> 140.82.113.21:443 | Flags: A | Size: 40
00:57:57 | TCP   | 172.18.0.1:64884 -> 140.82.113.21:443 | Flags: PA | Size: 557
00:57:57 | TCP   | 140.82.113.21:443 -> 172.18.0.1:64884 | Flags: A | Size: 40
00:57:57 | TCP   | 172.18.0.1:59264 -> 20.50.201.195:443 | Flags: PA | Size: 158
00:57:57 | TCP   | 172.18.0.1:59264 -> 20.50.201.195:443 | Flags: A | Size: 1408
00:57:57 | TCP   | 172.18.0.1:59264 -> 20.50.201.195:443 | Flags: A | Size: 1408
00:57:57 | TCP   | 172.18.0.1:59264 -> 20.50.201.195:443 | Flags: A | Size: 1408
00:57:57 | TCP   | 172.18.0.1:59264 -> 20.50.201.195:443 | Flags: A | Size: 1408
00:57:57 | TCP   | 172.18.0.1:59264 -> 20.50.201.195:443 | Flags: PA | Size: 173
00:57:57 | TCP   | 20.50.201.195:443 -> 172.18.0.1:59264 | Flags: A | Size: 40
00:57:57 | TCP   | 140.82.113.21:443 -> 172.18.0.1:64884 | Flags: FA | Size: 40
